159,223,170,223,170,242,159,242
110,233,158,223,163,246,114,256
111,260,168,244,175,269,118,285
84,312,217,285,227,338,95,365
601,336,640,336,640,382,601,382
636,339,678,339,678,380,636,380
85,371,212,348,219,384,92,407
994,385,1069,376,1070,390,995,399
949,391,984,391,984,404,949,404
682,391,724,391,724,455,682,455
612,393,695,393,695,498,612,498
991,412,1058,401,1060,416,993,427
322,391,491,428,475,499,307,462
948,417,988,411,990,426,950,432
508,439,547,452,542,469,502,456
509,461,547,468,543,489,506,483
259,467,326,480,323,494,256,481
999,474,1078,474,1078,509,999,509
323,483,350,483,350,496,323,496
1029,510,1080,506,1081,517,1030,520
958,511,982,511,982,520,958,520
999,514,1030,511,1030,519,999,522
496,518,520,518,520,531,496,531
527,521,566,527,563,540,525,534
