463,61,571,119,560,139,452,82
176,125,246,94,255,114,185,145
562,122,584,122,584,144,562,144
586,129,622,147,613,166,577,148
105,156,148,137,156,157,113,175
108,286,117,286,117,318,108,318
704,332,725,332,725,344,704,344
706,347,725,343,727,353,708,357
708,357,728,357,728,366,708,366
706,366,725,366,725,378,706,378
258,368,328,368,328,390,258,390
528,370,582,378,579,400,525,391
97,385,135,380,137,395,98,400
708,384,732,384,732,396,708,396
164,422,186,422,186,430,164,430
33,425,54,425,54,437,33,437
197,444,213,441,214,451,198,453
177,442,193,442,193,454,177,454
224,452,236,452,236,460,224,460
224,466,236,466,236,474,224,474
612,496,680,496,680,505,612,505
718,496,766,496,766,504,718,504
